x: -10 ,y:-72.6843
x: -9.79798 ,y:-70.6189
x: -9.59596 ,y:-68.581
x: -9.39394 ,y:-66.5706
x: -9.19192 ,y:-64.5879
x: -8.9899 ,y:-62.6327
x: -8.78788 ,y:-60.7051
x: -8.58586 ,y:-58.805
x: -8.38384 ,y:-56.9325
x: -8.18182 ,y:-55.0876
x: -7.9798 ,y:-53.2703
x: -7.77778 ,y:-51.4805
x: -7.57576 ,y:-49.7183
x: -7.37374 ,y:-47.9836
x: -7.17172 ,y:-46.2765
x: -6.9697 ,y:-44.597
x: -6.76768 ,y:-42.9451
x: -6.56566 ,y:-41.3207
x: -6.36364 ,y:-39.7239
x: -6.16162 ,y:-38.1547
x: -5.9596 ,y:-36.6131
x: -5.75758 ,y:-35.099
x: -5.55556 ,y:-33.6124
x: -5.35354 ,y:-32.1535
x: -5.15152 ,y:-30.7221
x: -4.9495 ,y:-29.3183
x: -4.74747 ,y:-27.942
x: -4.54545 ,y:-26.5934
x: -4.34343 ,y:-25.2722
x: -4.14141 ,y:-23.9787
x: -3.93939 ,y:-22.7127
x: -3.73737 ,y:-21.4743
x: -3.53535 ,y:-20.2635
x: -3.33333 ,y:-19.0802
x: -3.13131 ,y:-17.9245
x: -2.92929 ,y:-16.7964
x: -2.72727 ,y:-15.6959
x: -2.52525 ,y:-14.6229
x: -2.32323 ,y:-13.5774
x: -2.12121 ,y:-12.5596
x: -1.91919 ,y:-11.5693
x: -1.71717 ,y:-10.6066
x: -1.51515 ,y:-9.67144
x: -1.31313 ,y:-8.76387
x: -1.11111 ,y:-7.88386
x: -0.909091 ,y:-7.03142
x: -0.707071 ,y:-6.20655
x: -0.505051 ,y:-5.40925
x: -0.30303 ,y:-4.63952
x: -0.10101 ,y:-3.89735
x: 0.101009 ,y:-3.18276
x: 0.30303 ,y:-2.49573
x: 0.505051 ,y:-1.83627
x: 0.707071 ,y:-1.20438
x: 0.909091 ,y:-0.600067
x: 1.11111 ,y:-0.023315
x: 1.31313 ,y:0.525866
x: 1.51515 ,y:1.04748
x: 1.71717 ,y:1.54152
x: 1.91919 ,y:2.008
x: 2.12121 ,y:2.4469
x: 2.32323 ,y:2.85824
x: 2.52525 ,y:3.24201
x: 2.72727 ,y:3.59821
x: 2.92929 ,y:3.92684
x: 3.13131 ,y:4.2279
x: 3.33333 ,y:4.5014
x: 3.53535 ,y:4.74732
x: 3.73737 ,y:4.96568
x: 3.93939 ,y:5.15646
x: 4.14141 ,y:5.31968
x: 4.34343 ,y:5.45533
x: 4.54545 ,y:5.56341
x: 4.74747 ,y:5.64392
x: 4.94949 ,y:5.69687
x: 5.15152 ,y:5.72224
x: 5.35354 ,y:5.72004
x: 5.55556 ,y:5.69028
x: 5.75758 ,y:5.63295
x: 5.9596 ,y:5.54805
x: 6.16162 ,y:5.43558
x: 6.36364 ,y:5.29554
x: 6.56566 ,y:5.12793
x: 6.76768 ,y:4.93275
x: 6.9697 ,y:4.71
x: 7.17172 ,y:4.45969
x: 7.37374 ,y:4.18181
x: 7.57576 ,y:3.87635
x: 7.77778 ,y:3.54333
x: 7.9798 ,y:3.18275
x: 8.18182 ,y:2.79459
x: 8.38384 ,y:2.37886
x: 8.58586 ,y:1.93556
x: 8.78788 ,y:1.46469
x: 8.9899 ,y:0.966263
x: 9.19192 ,y:0.440258
x: 9.39394 ,y:-0.113316
x: 9.59596 ,y:-0.694452
x: 9.79798 ,y:-1.30316
x: 10 ,y:-1.93945
